id,level,code,name
__export__.account_hierarchy_label_187,3,172.16,Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
__export__.account_hierarchy_label_188,3,172.17,Pérdida por deterioro acumulado de adaptaciones y mejoras
__export__.account_hierarchy_label_189,3,172.18,Pérdida por deterioro acumulado de otra maquinaria y equipo
__export__.account_hierarchy_label_190,2,173,Gastos diferidos
__export__.account_hierarchy_label_191,3,173.01,Gastos diferidos
__export__.account_hierarchy_label_192,2,174,Gastos pre operativos
__export__.account_hierarchy_label_193,3,174.01,Gastos pre operativos
__export__.account_hierarchy_label_194,2,175,"Regalías, asistencia técnica y otros gastos diferidos"
__export__.account_hierarchy_label_195,3,175.01,"Regalías, asistencia técnica y otros gastos diferidos"
__export__.account_hierarchy_label_196,2,176,Activos intangibles
__export__.account_hierarchy_label_197,3,176.01,Activos intangibles
__export__.account_hierarchy_label_198,2,177,Gastos de organización
__export__.account_hierarchy_label_199,3,177.01,Gastos de organización
__export__.account_hierarchy_label_200,2,178,Investigación y desarrollo de mercado
__export__.account_hierarchy_label_201,3,178.01,Investigación y desarrollo de mercado
__export__.account_hierarchy_label_202,2,179,Marcas y patentes
__export__.account_hierarchy_label_203,3,179.01,Marcas y patentes
__export__.account_hierarchy_label_204,2,180,Crédito mercantil
__export__.account_hierarchy_label_205,3,180.01,Crédito mercantil
__export__.account_hierarchy_label_206,2,181,Gastos de instalación
__export__.account_hierarchy_label_207,3,181.01,Gastos de instalación
__export__.account_hierarchy_label_208,2,182,Otros activos diferidos
__export__.account_hierarchy_label_209,3,182.01,Otros activos diferidos
__export__.account_hierarchy_label_210,2,183,Amortización acumulada de activos diferidos
__export__.account_hierarchy_label_211,3,183.01,Amortización acumulada de gastos diferidos
__export__.account_hierarchy_label_212,3,183.02,Amortización acumulada de gastos pre operativos
__export__.account_hierarchy_label_213,3,183.03,"Amortización acumulada de regalías, asistencia técnica y otros gastos diferidos"
__export__.account_hierarchy_label_214,3,183.04,Amortización acumulada de activos intangibles
__export__.account_hierarchy_label_215,3,183.05,Amortización acumulada de gastos de organización
__export__.account_hierarchy_label_216,3,183.06,Amortización acumulada de investigación y desarrollo de mercado
__export__.account_hierarchy_label_217,3,183.07,Amortización acumulada de marcas y patentes
__export__.account_hierarchy_label_218,3,183.08,Amortización acumulada de crédito mercantil
__export__.account_hierarchy_label_219,3,183.09,Amortización acumulada de gastos de instalación
__export__.account_hierarchy_label_220,3,183.01,Amortización acumulada de otros activos diferidos
__export__.account_hierarchy_label_221,2,184,Depósitos en garantía
__export__.account_hierarchy_label_222,3,184.01,Depósitos de fianzas
__export__.account_hierarchy_label_223,3,184.02,Depósitos de arrendamiento de bienes inmuebles
__export__.account_hierarchy_label_224,3,184.03,Otros depósitos en garantía
__export__.account_hierarchy_label_225,2,185,Impuestos diferidos
__export__.account_hierarchy_label_226,3,185.01,Impuestos diferidos ISR
__export__.account_hierarchy_label_227,2,186,Cuentas y documentos por cobrar a largo plazo
__export__.account_hierarchy_label_228,3,186.01,Cuentas y documentos por cobrar a largo plazo nacional
__export__.account_hierarchy_label_229,3,186.02,Cuentas y documentos por cobrar a largo plazo extranjero
__export__.account_hierarchy_label_230,3,186.03,Cuentas y documentos por cobrar a largo plazo nacional parte relacionada
__export__.account_hierarchy_label_231,3,186.04,Cuentas y documentos por cobrar a largo plazo extranjero parte relacionada
__export__.account_hierarchy_label_232,3,186.05,Intereses por cobrar a largo plazo nacional
__export__.account_hierarchy_label_233,3,186.06,Intereses por cobrar a largo plazo extranjero
__export__.account_hierarchy_label_234,3,186.07,Intereses por cobrar a largo plazo nacional parte relacionada
__export__.account_hierarchy_label_235,3,186.08,Intereses por cobrar a largo plazo extranjero parte relacionada
__export__.account_hierarchy_label_236,3,186.09,Otras cuentas y documentos por cobrar a largo plazo
__export__.account_hierarchy_label_237,3,186.1,Otras cuentas y documentos por cobrar a largo plazo parte relacionada
__export__.account_hierarchy_label_238,2,187,Participación de los trabajadores en las utilidades diferidas
__export__.account_hierarchy_label_239,3,187.01,Participación de los trabajadores en las utilidades diferidas
__export__.account_hierarchy_label_240,2,188,Inversiones permanentes en acciones
__export__.account_hierarchy_label_241,3,188.01,Inversiones a largo plazo en subsidiarias
__export__.account_hierarchy_label_242,3,188.02,Inversiones a largo plazo en asociadas
__export__.account_hierarchy_label_243,3,188.03,Otras inversiones permanentes en acciones
__export__.account_hierarchy_label_244,2,189,Estimación por deterioro de inversiones permanentes en acciones
__export__.account_hierarchy_label_245,3,189.01,Estimación por deterioro de inversiones permanentes en acciones
__export__.account_hierarchy_label_246,2,190,Otros instrumentos financieros
__export__.account_hierarchy_label_247,3,190.01,Otros instrumentos financieros
__export__.account_hierarchy_label_248,2,191,Otros activos a largo plazo
__export__.account_hierarchy_label_249,3,191.01,Otros activos a largo plazo
__export__.account_hierarchy_label_250,1,2,Pasivo
__export__.account_hierarchy_label_251,2,200,Pasivo
__export__.account_hierarchy_label_252,3,200.01,Pasivo a corto plazo
__export__.account_hierarchy_label_253,2,201,Proveedores
__export__.account_hierarchy_label_254,3,201.01,Proveedores nacionales
